iter	Passed	Remaining
461	773	900
462	774	898
463	775	896
464	776	893
465	778	891
466	779	889
467	780	886
468	781	884
469	782	881
470	782	879
471	783	876
472	784	874
473	785	871
474	786	869
475	787	866
476	788	864
477	789	861
478	789	859
479	790	856
480	791	854
481	792	851
482	793	849
483	794	847
484	795	844
485	796	842
486	797	839
487	797	837
488	799	834
489	799	832
490	800	830
491	801	828
492	802	825
493	803	823
494	804	821
495	805	818
496	806	816
497	807	814
498	808	811
499	809	809
500	810	807
501	811	805
502	812	802
503	813	800
504	814	798
505	815	796
506	816	793
507	817	791
508	818	789
509	818	786
510	819	784
511	820	782
512	821	780
513	822	778
514	823	775
515	824	773
516	825	771
517	826	769
518	827	767
519	828	765
520	829	762
521	830	760
522	831	758
523	832	756
524	833	754
525	834	751
526	835	749
527	836	747
528	837	745
529	838	743
530	839	741
531	839	738
532	840	736
533	841	734
534	842	732
535	843	730
536	844	728
537	845	726
538	846	724
539	847	722
540	848	719
541	849	717
542	850	715
543	851	713
544	852	711
545	853	709
546	853	707
547	854	705
548	855	702
549	856	700
550	857	698
551	858	696
552	859	694
553	860	692
554	861	690
555	862	688
556	863	686
557	863	684
558	864	682
559	865	680
560	866	678
561	867	676
562	868	674
563	869	672
564	870	670
565	871	668
566	872	666
567	873	664
568	874	662
569	875	660
570	876	658
571	877	656
572	878	654
573	879	652
574	880	650
575	881	648
576	882	646
577	883	644
578	884	642
579	885	640
580	885	638
581	886	636
582	887	635
583	888	633
584	889	631
585	890	629
586	891	627
587	892	625
588	893	623
589	894	621
590	895	619
591	896	617
592	897	615
593	898	614
594	899	612
595	900	610
596	901	608
597	902	606
598	902	604
599	903	602
600	904	600
601	905	598
602	906	596
603	907	594
604	908	593
605	912	593
606	915	593
607	919	592
608	922	592
609	926	592
610	929	591
611	932	591
612	936	590
613	939	590
614	943	590
615	947	590
616	950	590
617	953	589
618	957	589
619	960	588
620	964	588
621	967	587
622	970	587
623	973	586
624	977	586
625	980	585
626	983	585
627	986	584
628	988	583
629	991	582
630	993	581
631	995	579
632	997	578
633	999	576
634	1001	575
635	1003	574
636	1005	572
637	1006	571
638	1008	569
639	1010	568
640	1011	566
641	1012	564
642	1014	563
643	1016	561
644	1017	560
645	1019	558
646	1024	558
647	1026	557
648	1028	555
649	1029	554
650	1030	552
651	1032	551
652	1034	549
653	1035	548
654	1038	546
655	1039	545
656	1040	543
657	1041	541
658	1042	539
659	1043	537
660	1044	535
661	1045	533
662	1047	532
663	1048	530
664	1049	528
665	1050	526
666	1051	524
667	1052	522
668	1052	520
669	1053	519
670	1054	517
671	1055	515
672	1056	513
673	1058	511
674	1059	509
675	1060	508
676	1061	506
677	1063	505
678	1064	503
679	1065	501
680	1066	499
681	1067	497
682	1068	495
683	1069	494
684	1070	492
685	1071	490
686	1071	488
687	1072	486
688	1073	484
689	1074	482
690	1075	480
691	1076	479
692	1077	477
693	1078	475
694	1079	473
695	1080	471
696	1081	470
697	1082	468
698	1083	466
699	1084	464
700	1085	462
701	1086	461
702	1087	459
703	1088	457
704	1089	455
705	1089	453
706	1090	451
707	1091	450
708	1092	448
709	1094	446
710	1095	445
711	1096	443
712	1097	441
713	1098	440
714	1100	438
715	1101	436
716	1102	435
717	1103	433
718	1105	431
719	1106	430
720	1107	428
721	1109	427
722	1110	425
723	1111	423
724	1112	421
725	1113	420
726	1113	418
727	1115	416
728	1115	414
729	1116	413
730	1117	411
731	1118	409
732	1119	407
733	1120	406
734	1121	404
735	1122	402
736	1123	400
737	1124	399
738	1125	397
739	1126	395
740	1127	394
741	1129	392
742	1130	390
743	1131	389
744	1132	387
745	1133	386
746	1134	384
747	1135	382
748	1137	381
749	1138	379
750	1139	377
751	1140	376
752	1141	374
753	1142	372
754	1143	371
755	1145	369
756	1146	367
757	1147	366
758	1148	364
759	1149	362
760	1150	361
761	1151	359
762	1151	357
763	1152	356
764	1154	354
765	1155	352
766	1156	351
767	1157	349
768	1158	347
769	1159	346
770	1160	344
771	1161	343
772	1162	341
773	1164	339
774	1165	338
775	1166	336
776	1166	334
777	1168	333
778	1169	331
779	1170	330
780	1171	328
781	1172	326
782	1173	325
783	1174	323
784	1176	322
785	1177	320
786	1178	318
787	1179	317
788	1180	315
789	1181	314
790	1183	312
791	1184	311
792	1185	309
793	1186	307
794	1187	306
795	1189	304
796	1190	303
797	1191	301
798	1192	299
799	1193	298
800	1194	296
801	1194	295
802	1195	293
803	1196	291
804	1197	290
805	1199	288
806	1200	287
807	1201	285
808	1202	283
809	1203	282
810	1205	280
811	1206	279
812	1207	277
813	1208	276
814	1210	274
815	1211	273
816	1212	271
817	1213	269
818	1214	268
819	1215	266
820	1216	265
821	1217	263
822	1218	262
823	1220	260
824	1221	259
825	1222	257
826	1223	255
827	1224	254
828	1225	252
829	1227	251
830	1228	249
831	1229	248
832	1230	246
833	1231	245
834	1232	243
835	1234	242
836	1235	240
837	1236	238
838	1237	237
839	1238	235
840	1239	234
841	1240	232
842	1241	231
843	1241	229
844	1242	227
845	1244	226
846	1245	224
847	1246	223
848	1247	221
849	1248	220
850	1249	218
851	1250	217
852	1251	215
853	1253	214
854	1254	212
855	1255	211
856	1256	209
857	1257	208
858	1258	206
859	1259	205
860	1260	203
861	1261	202
862	1263	200
863	1264	199
864	1265	197
865	1267	196
866	1268	194
867	1269	193
868	1270	191
869	1271	190
870	1272	188
871	1273	186
872	1275	185
873	1276	183
874	1277	182
875	1278	180
876	1279	179
877	1281	178
878	1282	176
879	1283	175
880	1284	173
881	1285	172
882	1287	170
883	1288	169
884	1289	167
885	1290	166
886	1291	164
887	1293	163
888	1294	161
889	1295	160
890	1296	158
891	1297	157
892	1298	155
893	1299	154
894	1301	152
895	1302	151
896	1303	149
897	1304	148
898	1305	146
899	1306	145
900	1307	143
901	1308	142
902	1310	140
903	1311	139
904	1312	137
905	1313	136
906	1314	134
907	1314	133
908	1315	131
909	1316	130
910	1317	128
911	1318	127
912	1319	125
913	1321	124
914	1322	122
915	1323	121
916	1324	119
917	1326	118
918	1327	117
919	1328	115
920	1329	114
921	1330	112
922	1331	111
923	1332	109
924	1333	108
925	1335	106
926	1336	105
927	1336	103
928	1338	102
929	1339	100
930	1340	99
931	1340	97
932	1341	96
933	1342	94
934	1343	93
935	1344	91
936	1345	90
937	1346	88
938	1347	87
939	1348	86
940	1349	84
941	1350	83
942	1351	81
943	1352	80
944	1353	78
945	1354	77
946	1355	75
947	1357	74
948	1357	72
949	1358	71
950	1359	70
951	1360	68
952	1361	67
953	1362	65
954	1363	64
955	1364	62
956	1366	61
957	1367	59
958	1368	58
959	1369	57
960	1370	55
961	1371	54
962	1372	52
963	1373	51
964	1373	49
965	1374	48
966	1375	46
967	1376	45
968	1377	44
969	1378	42
970	1379	41
971	1380	39
972	1381	38
973	1383	36
974	1384	35
975	1385	34
976	1387	32
977	1388	31
978	1389	29
979	1390	28
980	1391	26
981	1392	25
982	1393	24
983	1394	22
984	1396	21
985	1396	19
986	1397	18
987	1398	16
988	1399	15
989	1400	14
990	1401	12
991	1402	11
992	1403	9
993	1404	8
994	1405	7
995	1406	5
996	1406	4
997	1407	2
998	1408	1
999	1409	0
